                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 118.25,                      0,                      0,                      0,                      0,                      0,                      0,                  147.2,                      0,                  4e-05,                  4e-05,                  4e-05
                      2,                      0,                 116.08,                      0,                      0,                      0,                      0,                      0,                      0,                  147.5,                      0,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                      0,                 113.54,                      0,                      0,                      0,                      0,                      0,                      0,                 147.41,                      0,             0.00015683,             0.00015683,             0.00015683
                      4,                      0,                 110.57,                      0,                      0,                      0,                      0,                      0,                      0,                    148,                      0,             0.00021347,             0.00021347,             0.00021347
                      5,                      0,                 105.67,                      0,                      0,                      0,                      0,                      0,                      0,                 147.89,                      0,             0.00026891,             0.00026891,             0.00026891
                      6,                      0,                 99.518,                      0,                      0,                      0,                      0,                      0,                      0,                 145.76,                      0,             0.00032317,             0.00032317,             0.00032317
                      7,                      0,                 95.373,                      0,                      0,                      0,                      0,                      0,                      0,                 143.25,                      0,             0.00037624,             0.00037624,             0.00037624
                      8,                      0,                  91.27,                      0,                      0,                      0,                      0,                      0,                      0,                 141.78,                      0,             0.00042812,             0.00042812,             0.00042812
                      9,                      0,                 88.111,                      0,                      0,                      0,                      0,                      0,                      0,                 134.19,                      0,             0.00047882,             0.00047882,             0.00047882
                     10,                      0,                 85.712,                      0,                      0,                      0,                      0,                      0,                      0,                 133.24,                      0,             0.00052832,             0.00052832,             0.00052832
                     11,                      0,                 83.386,                      0,                      0,                      0,                      0,                      0,                      0,                 136.82,                      0,             0.00057664,             0.00057664,             0.00057664
                     12,                      0,                 81.252,                      0,                      0,                      0,                      0,                      0,                      0,                 128.91,                      0,             0.00062377,             0.00062377,             0.00062377
                     13,                      0,                 79.681,                      0,                      0,                      0,                      0,                      0,                      0,                 201.74,                      0,             0.00066971,             0.00066971,             0.00066971
                     14,                      0,                 77.054,                      0,                      0,                      0,                      0,                      0,                      0,                 454.19,                      0,             0.00071447,             0.00071447,             0.00071447
                     15,                      0,                  76.16,                      0,                      0,                      0,                      0,                      0,                      0,                 156.61,                      0,             0.00075803,             0.00075803,             0.00075803
                     16,                      0,                 73.624,                      0,                      0,                      0,                      0,                      0,                      0,                  99.71,                      0,             0.00080041,             0.00080041,             0.00080041
                     17,                      0,                 73.832,                      0,                      0,                      0,                      0,                      0,                      0,                 200.76,                      0,              0.0008416,              0.0008416,              0.0008416
                     18,                      0,                 70.914,                      0,                      0,                      0,                      0,                      0,                      0,                 91.333,                      0,              0.0008816,              0.0008816,              0.0008816
                     19,                      0,                 68.976,                      0,                      0,                      0,                      0,                      0,                      0,                 92.543,                      0,             0.00092042,             0.00092042,             0.00092042
                     20,                      0,                 68.105,                      0,                      0,                      0,                      0,                      0,                      0,                 79.313,                      0,             0.00095804,             0.00095804,             0.00095804
                     21,                      0,                 67.054,                      0,                      0,                      0,                      0,                      0,                      0,                  77.93,                      0,             0.00099448,             0.00099448,             0.00099448
                     22,                      0,                 67.338,                      0,                      0,                      0,                      0,                      0,                      0,                 77.284,                      0,              0.0010297,              0.0010297,              0.0010297
                     23,                      0,                 66.578,                      0,                      0,                      0,                      0,                      0,                      0,                 74.161,                      0,              0.0010638,              0.0010638,              0.0010638
                     24,                      0,                 65.136,                      0,                      0,                      0,                      0,                      0,                      0,                 69.663,                      0,              0.0010967,              0.0010967,              0.0010967
                     25,                      0,                 63.146,                      0,                      0,                      0,                      0,                      0,                      0,                 68.867,                      0,              0.0011284,              0.0011284,              0.0011284
                     26,                      0,                 66.746,                      0,                      0,                      0,                      0,                      0,                      0,                 66.941,                      0,              0.0011588,              0.0011588,              0.0011588
                     27,                      0,                 63.335,                      0,                      0,                      0,                      0,                      0,                      0,                 64.356,                      0,              0.0011882,              0.0011882,              0.0011882
                     28,                      0,                 61.198,                      0,                      0,                      0,                      0,                      0,                      0,                 61.531,                      0,              0.0012163,              0.0012163,              0.0012163
                     29,                      0,                 59.635,                      0,                      0,                      0,                      0,                      0,                      0,                 61.531,                      0,              0.0012432,              0.0012432,              0.0012432
                     30,                      0,                 58.928,                      0,                      0,                      0,                      0,                      0,                      0,                 58.927,                      0,               0.001269,               0.001269,               0.001269
                     31,                      0,                 58.541,                      0,                      0,                      0,                      0,                      0,                      0,                 57.593,                      0,              0.0012935,              0.0012935,              0.0012935
                     32,                      0,                 57.423,                      0,                      0,                      0,                      0,                      0,                      0,                  57.42,                      0,              0.0013169,              0.0013169,              0.0013169
                     33,                      0,                 56.181,                      0,                      0,                      0,                      0,                      0,                      0,                  57.42,                      0,              0.0013391,              0.0013391,              0.0013391
                     34,                      0,                 55.474,                      0,                      0,                      0,                      0,                      0,                      0,                 95.867,                      0,              0.0013466,              0.0013466,              0.0013466
                     35,                      0,                 54.708,                      0,                      0,                      0,                      0,                      0,                      0,                 61.396,                      0,              0.0013268,              0.0013268,              0.0013268
                     36,                      0,                 54.227,                      0,                      0,                      0,                      0,                      0,                      0,                 55.788,                      0,               0.001307,               0.001307,               0.001307
                     37,                      0,                 53.261,                      0,                      0,                      0,                      0,                      0,                      0,                 55.788,                      0,              0.0012872,              0.0012872,              0.0012872
                     38,                      0,                 52.424,                      0,                      0,                      0,                      0,                      0,                      0,                   70.7,                      0,              0.0012674,              0.0012674,              0.0012674
                     39,                      0,                 51.783,                      0,                      0,                      0,                      0,                      0,                      0,                 97.372,                      0,              0.0012476,              0.0012476,              0.0012476
                     40,                      0,                 51.026,                      0,                      0,                      0,                      0,                      0,                      0,                 60.406,                      0,              0.0012278,              0.0012278,              0.0012278
                     41,                      0,                  49.89,                      0,                      0,                      0,                      0,                      0,                      0,                 60.406,                      0,               0.001208,               0.001208,               0.001208
                     42,                      0,                 49.307,                      0,                      0,                      0,                      0,                      0,                      0,                 59.238,                      0,              0.0011882,              0.0011882,              0.0011882
                     43,                      0,                 48.444,                      0,                      0,                      0,                      0,                      0,                      0,                 57.883,                      0,              0.0011684,              0.0011684,              0.0011684
                     44,                      0,                 47.847,                      0,                      0,                      0,                      0,                      0,                      0,                 56.947,                      0,              0.0011486,              0.0011486,              0.0011486
                     45,                      0,                 46.879,                      0,                      0,                      0,                      0,                      0,                      0,                 56.947,                      0,              0.0011288,              0.0011288,              0.0011288
                     46,                      0,                 46.157,                      0,                      0,                      0,                      0,                      0,                      0,                 56.063,                      0,               0.001109,               0.001109,               0.001109
                     47,                      0,                 45.592,                      0,                      0,                      0,                      0,                      0,                      0,                 56.103,                      0,              0.0010892,              0.0010892,              0.0010892
                     48,                      0,                 44.554,                      0,                      0,                      0,                      0,                      0,                      0,                 55.405,                      0,              0.0010694,              0.0010694,              0.0010694
                     49,                      0,                 43.932,                      0,                      0,                      0,                      0,                      0,                      0,                 55.405,                      0,              0.0010496,              0.0010496,              0.0010496
                     50,                      0,                 43.265,                      0,                      0,                      0,                      0,                      0,                      0,                 53.894,                      0,              0.0010298,              0.0010298,              0.0010298
                     51,                      0,                 42.998,                      0,                      0,                      0,                      0,                      0,                      0,                 52.764,                      0,                0.00101,                0.00101,                0.00101
                     52,                      0,                 42.475,                      0,                      0,                      0,                      0,                      0,                      0,                 53.849,                      0,              0.0009902,              0.0009902,              0.0009902
                     53,                      0,                 41.455,                      0,                      0,                      0,                      0,                      0,                      0,                 53.849,                      0,              0.0009704,              0.0009704,              0.0009704
                     54,                      0,                 41.127,                      0,                      0,                      0,                      0,                      0,                      0,                 51.998,                      0,              0.0009506,              0.0009506,              0.0009506
                     55,                      0,                 40.644,                      0,                      0,                      0,                      0,                      0,                      0,                 53.807,                      0,              0.0009308,              0.0009308,              0.0009308
                     56,                      0,                 40.227,                      0,                      0,                      0,                      0,                      0,                      0,                  60.09,                      0,               0.000911,               0.000911,               0.000911
                     57,                      0,                 39.572,                      0,                      0,                      0,                      0,                      0,                      0,                  60.09,                      0,              0.0008912,              0.0008912,              0.0008912
                     58,                      0,                 38.976,                      0,                      0,                      0,                      0,                      0,                      0,                 55.043,                      0,              0.0008714,              0.0008714,              0.0008714
                     59,                      0,                 38.567,                      0,                      0,                      0,                      0,                      0,                      0,                  52.09,                      0,              0.0008516,              0.0008516,              0.0008516
                     60,                      0,                 38.292,                      0,                      0,                      0,                      0,                      0,                      0,                 52.031,                      0,              0.0008318,              0.0008318,              0.0008318
                     61,                      0,                 37.569,                      0,                      0,                      0,                      0,                      0,                      0,                 52.031,                      0,               0.000812,               0.000812,               0.000812
                     62,                      0,                 37.128,                      0,                      0,                      0,                      0,                      0,                      0,                 49.607,                      0,              0.0007922,              0.0007922,              0.0007922
                     63,                      0,                 36.813,                      0,                      0,                      0,                      0,                      0,                      0,                 48.814,                      0,              0.0007724,              0.0007724,              0.0007724
                     64,                      0,                 38.032,                      0,                      0,                      0,                      0,                      0,                      0,                 48.408,                      0,              0.0007526,              0.0007526,              0.0007526
                     65,                      0,                 35.901,                      0,                      0,                      0,                      0,                      0,                      0,                 48.408,                      0,              0.0007328,              0.0007328,              0.0007328
                     66,                      0,                 36.135,                      0,                      0,                      0,                      0,                      0,                      0,                 47.537,                      0,               0.000713,               0.000713,               0.000713
                     67,                      0,                  35.81,                      0,                      0,                      0,                      0,                      0,                      0,                 47.092,                      0,              0.0006932,              0.0006932,              0.0006932
                     68,                      0,                 34.933,                      0,                      0,                      0,                      0,                      0,                      0,                 46.312,                      0,              0.0006734,              0.0006734,              0.0006734
                     69,                      0,                 34.426,                      0,                      0,                      0,                      0,                      0,                      0,                 46.312,                      0,              0.0006536,              0.0006536,              0.0006536
                     70,                      0,                 34.174,                      0,                      0,                      0,                      0,                      0,                      0,                 45.311,                      0,              0.0006338,              0.0006338,              0.0006338
                     71,                      0,                 33.955,                      0,                      0,                      0,                      0,                      0,                      0,                 44.988,                      0,               0.000614,               0.000614,               0.000614
                     72,                      0,                  33.66,                      0,                      0,                      0,                      0,                      0,                      0,                 44.922,                      0,              0.0005942,              0.0005942,              0.0005942
                     73,                      0,                 33.242,                      0,                      0,                      0,                      0,                      0,                      0,                 44.922,                      0,              0.0005744,              0.0005744,              0.0005744
                     74,                      0,                 32.942,                      0,                      0,                      0,                      0,                      0,                      0,                 47.927,                      0,              0.0005546,              0.0005546,              0.0005546
                     75,                      0,                 32.681,                      0,                      0,                      0,                      0,                      0,                      0,                 51.472,                      0,              0.0005348,              0.0005348,              0.0005348
                     76,                      0,                 32.419,                      0,                      0,                      0,                      0,                      0,                      0,                 51.677,                      0,               0.000515,               0.000515,               0.000515
                     77,                      0,                 32.084,                      0,                      0,                      0,                      0,                      0,                      0,                 51.677,                      0,              0.0004952,              0.0004952,              0.0004952
                     78,                      0,                 31.904,                      0,                      0,                      0,                      0,                      0,                      0,                 47.147,                      0,              0.0004754,              0.0004754,              0.0004754
                     79,                      0,                 31.655,                      0,                      0,                      0,                      0,                      0,                      0,                 43.034,                      0,              0.0004556,              0.0004556,              0.0004556
                     80,                      0,                  31.48,                      0,                      0,                      0,                      0,                      0,                      0,                 42.676,                      0,              0.0004358,              0.0004358,              0.0004358
                     81,                      0,                 31.276,                      0,                      0,                      0,                      0,                      0,                      0,                 42.676,                      0,               0.000416,               0.000416,               0.000416
                     82,                      0,                 30.941,                      0,                      0,                      0,                      0,                      0,                      0,                 42.421,                      0,              0.0003962,              0.0003962,              0.0003962
                     83,                      0,                 30.818,                      0,                      0,                      0,                      0,                      0,                      0,                 42.053,                      0,              0.0003764,              0.0003764,              0.0003764
                     84,                      0,                 30.568,                      0,                      0,                      0,                      0,                      0,                      0,                  41.62,                      0,              0.0003566,              0.0003566,              0.0003566
                     85,                      0,                  30.46,                      0,                      0,                      0,                      0,                      0,                      0,                  41.62,                      0,              0.0003368,              0.0003368,              0.0003368
                     86,                      0,                 30.301,                      0,                      0,                      0,                      0,                      0,                      0,                 41.231,                      0,               0.000317,               0.000317,               0.000317
                     87,                      0,                 30.127,                      0,                      0,                      0,                      0,                      0,                      0,                 40.847,                      0,              0.0002972,              0.0002972,              0.0002972
                     88,                      0,                 29.994,                      0,                      0,                      0,                      0,                      0,                      0,                 40.467,                      0,              0.0002774,              0.0002774,              0.0002774
                     89,                      0,                  29.84,                      0,                      0,                      0,                      0,                      0,                      0,                 40.467,                      0,              0.0002576,              0.0002576,              0.0002576
                     90,                      0,                 29.602,                      0,                      0,                      0,                      0,                      0,                      0,                 40.107,                      0,              0.0002378,              0.0002378,              0.0002378
                     91,                      0,                   29.5,                      0,                      0,                      0,                      0,                      0,                      0,                 39.741,                      0,               0.000218,               0.000218,               0.000218
                     92,                      0,                 29.464,                      0,                      0,                      0,                      0,                      0,                      0,                 39.369,                      0,              0.0001982,              0.0001982,              0.0001982
                     93,                      0,                 29.361,                      0,                      0,                      0,                      0,                      0,                      0,                 39.369,                      0,              0.0001784,              0.0001784,              0.0001784
                     94,                      0,                 29.177,                      0,                      0,                      0,                      0,                      0,                      0,                 39.023,                      0,              0.0001586,              0.0001586,              0.0001586
                     95,                      0,                 29.217,                      0,                      0,                      0,                      0,                      0,                      0,                  38.71,                      0,              0.0001388,              0.0001388,              0.0001388
                     96,                      0,                 29.039,                      0,                      0,                      0,                      0,                      0,                      0,                 38.399,                      0,               0.000119,               0.000119,               0.000119
                     97,                      0,                 28.995,                      0,                      0,                      0,                      0,                      0,                      0,                 38.399,                      0,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                      0,                 29.029,                      0,                      0,                      0,                      0,                      0,                      0,                 38.164,                      0,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                      0,                 28.871,                      0,                      0,                      0,                      0,                      0,                      0,                 37.973,                      0,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                      0,                 28.929,                      0,                      0,                      0,                      0,                      0,                      0,                 37.812,                      0,               3.98e-05,               3.98e-05,               3.98e-05
